Neighborhood,Metrics,Metrics Value
 Bancários,IDH-R,81.6
Maria da Graça,IDH-R,81.2
 Del Castilho,IDH-R,81.2
Ribeira,IDH-R,81.89999999999999
 Cacuia,IDH-R,81.89999999999999
Lins de Vasconcelos,IDH-R,83.6
Engenho Novo,IDH-R,83.3
Zumbi,IDH-R,81.6
 Pitangueiras,IDH-R,81.6
 Praia da Bandeira,IDH-R,81.6
Ramos,IDH-R,81.3
Engenho de Dentro,IDH-R,82.19999999999999
Abolição,IDH-R,79.9
Deodoro,IDH-R,79.7
 Vila Militar,IDH-R,79.7
 Campo dos Afonsos,IDH-R,79.7
Jardim Sulacap,IDH-R,95.7
Oswaldo Cruz,IDH-R,78.9
Olaria,IDH-R,79.60000000000001
Bento Ribeiro,IDH-R,77.3
Piedade,IDH-R,79.2
Quintino Bocaiúva,IDH-R,78.3
Rio Comprido,IDH-R,83.8
Praça Seca,IDH-R,81.0
Jardim América,IDH-R,78.3
Jacaré,IDH-R,81.5
 Rocha,IDH-R,81.5
 Sampaio,IDH-R,81.5
Freguesia,IDH-R,82.8
Jardim Carioca,IDH-R,78.7
Engenho da Rainha,IDH-R,75.7
Brás de Pina,IDH-R,77.2
São Cristóvão,IDH-R,77.8
 Vasco da Gama,IDH-R,77.8
Cascadura,IDH-R,78.5
Parque Anchieta,IDH-R,75.3
Madureira,IDH-R,78.10000000000001
Pilares,IDH-R,76.9
Tanque,IDH-R,78.9
Estácio,IDH-R,77.8
Curicica,IDH-R,75.7
Penha Circular,IDH-R,79.10000000000001
Benfica,IDH-R,76.3
Paquetá,IDH-R,79.5
Itanhangá,IDH-R,85.39999999999999
Tauá,IDH-R,78.0
Rocha Miranda,IDH-R,74.5
Marechal Hermes,IDH-R,75.8
Turiaçu,IDH-R,74.4
Guadalupe,IDH-R,74.4
Inhaúma,IDH-R,73.8
Campo Grande,IDH-R,75.1
Cavalcanti,IDH-R,74.0
 Engenheiro Leal,IDH-R,74.0
 Vaz Lobo,IDH-R,74.0
Ricardo de Albuquerque,IDH-R,71.5
Coelho Neto,IDH-R,72.5
Padre Miguel,IDH-R,73.2
Penha,IDH-R,76.1
Honório Gurgel,IDH-R,72.7
Realengo,IDH-R,73.4
Senador Vasconcelos,IDH-R,72.6
Tomás Coelho,IDH-R,73.9
Magalhães Bastos,IDH-R,73.5
Catumbi,IDH-R,73.8
Jamelão,IDH-R,75.4
 São Francisco Xavier,IDH-R,75.4
Vista Alegre,IDH-R,80.10000000000001
 Irajá,IDH-R,80.10000000000001
Bangu,IDH-R,72.3
Saúde,IDH-R,73.6
 Gamboa,IDH-R,73.6
 Santo Cristo,IDH-R,73.6
Cordovil,IDH-R,72.0
Pavuna,IDH-R,71.7
Anchieta,IDH-R,71.2
Santíssimo,IDH-R,69.8
Galeão,IDH-R,72.5
 Cidade Universitária,IDH-R,72.5
Vicente de Carvalho,IDH-R,72.3
Jacarepaguá,IDH-R,74.2
Senador Camará,IDH-R,69.5
Gardênia Azul,IDH-R,71.0
Vigário Geral,IDH-R,72.3
Colégio,IDH-R,70.3
Sepetiba,IDH-R,70.39999999999999
Cosmos,IDH-R,66.2
Caju,IDH-R,68.5
Paciência,IDH-R,66.0
Cidade de Deus,IDH-R,66.3
Barros Filho,IDH-R,65.60000000000001
Inhoaíba,IDH-R,66.3
Camorim,IDH-R,71.3
 Vargem Pequena,IDH-R,71.3
 Vargem Grande,IDH-R,71.3
Parada de Lucas,IDH-R,67.30000000000001
Guaratiba,IDH-R,68.4
 Barra de Guaratiba,IDH-R,68.4
 Pedra de Guaratiba,IDH-R,68.4
Santa Cruz,IDH-R,66.2
Rocinha,IDH-R,67.30000000000001
Jacarezinho,IDH-R,63.800000000000004
Manguinhos,IDH-R,64.8
Maré,IDH-R,64.60000000000001
Acari,IDH-R,63.4
 Parque Colúmbia,IDH-R,63.4
Costa Barros,IDH-R,63.5
Complexo do Alemão,IDH-R,63.7
Gávea,IDH,97.0
Leblon,IDH,96.7
Jardim Guanabara,IDH,96.3
Ipanema,IDH,96.2
Lagoa,IDH,95.89999999999999
Flamengo,IDH,95.89999999999999
Humaitá,IDH,95.89999999999999
Barra da Tijuca,IDH,95.89999999999999
 Joá,IDH,95.89999999999999
Laranjeiras,IDH,95.7
Jardim Botânico,IDH,95.7
Copacabana,IDH,95.6
Leme,IDH,95.5
Botafogo,IDH,95.19999999999999
 Urca,IDH,95.19999999999999
Maracanã,IDH,94.39999999999999
Glória,IDH,94.0
Méier,IDH,93.10000000000001
Tijuca,IDH,92.60000000000001
 Alto da Boa Vista,IDH,92.60000000000001
Todos os Santos,IDH,92.2
Anil,IDH,91.10000000000001
Vila da Penha,IDH,90.9
Andaraí,IDH,90.9
Riachuelo,IDH,90.5
Campinho,IDH,90.4
 Vila Valqueire,IDH,90.4
Moneró,IDH,90.4
 Portuguesa,IDH,90.4
Catete,IDH,90.10000000000001
Vila Isabel,IDH,90.10000000000001
Cachambi,IDH,90.0
Pechincha,IDH,90.0
Freguesia (Ilha),IDH,89.8
Recreio dos Bandeirantes,IDH,89.4
 Grumari,IDH,89.4
Centro,IDH,89.4
 Lapa,IDH,89.4
Higienópolis,IDH,88.2
Santa Teresa,IDH,87.8
 Cosme Velho,IDH,87.8
Água Santa,IDH,87.7
 Encantado,IDH,87.7
Taquara,IDH,87.6
Vila Kosmos,IDH,87.6
Vidigal,IDH,87.3
 São Conrado,IDH,87.3
Cidade Nova,IDH,86.7
 Praça da Bandeira,IDH,86.7
Bonsucesso,IDH,86.1
Cocotá,IDH,86.1
 Bancários,IDH,86.1
Maria da Graça,IDH,86.0
 Del Castilho,IDH,86.0
Ribeira,IDH,85.9
 Cacuia,IDH,85.9
Lins de Vasconcelos,IDH,85.9
Engenho Novo,IDH,85.8
Zumbi,IDH,85.8
 Pitangueiras,IDH,85.8
 Praia da Bandeira,IDH,85.8
Ramos,IDH,85.7
Engenho de Dentro,IDH,85.7
Abolição,IDH,85.7
Deodoro,IDH,85.6
 Vila Militar,IDH,85.6
 Campo dos Afonsos,IDH,85.6
Jardim Sulacap,IDH,94.39999999999999
Oswaldo Cruz,IDH,85.5
Olaria,IDH,85.3
Bento Ribeiro,IDH,85.1
Piedade,IDH,85.0
Quintino Bocaiúva,IDH,85.0
Rio Comprido,IDH,84.89999999999999
Praça Seca,IDH,84.5
Jardim América,IDH,83.89999999999999
Jacaré,IDH,83.89999999999999
 Rocha,IDH,83.89999999999999
 Sampaio,IDH,83.89999999999999
Freguesia,IDH,83.89999999999999
