Number,Neighborhood,Per Capita Income - BRL,IDH-L,IDH-E,IDH-R,IDH,Address,location,point,latitude,longitude,altitude,Zones
47,Cidade Nova,640.0,78.4,96.5,85.1,86.7,"Cidade Nova, Rio de Janeiro, Brazil","Cidade Nova, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9100508, -43.201756, 0.0)",-22.9100508,-43.201756,0.0,Downtown
48, Praça da Bandeira,640.0,78.4,96.5,85.1,86.7," Praça da Bandeira, Rio de Janeiro, Brazil","Praça da Bandeira, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9112162, -43.2131983, 0.0)",-22.9112162,-43.2131983,0.0,North
49,Bonsucesso,552.0,82.8,92.80000000000001,82.69999999999999,86.1,"Bonsucesso, Rio de Janeiro, Brazil","Bonsucesso, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8659317, -43.253318, 0.0)",-22.8659317,-43.253318,0.0,North
50,Cocotá,518.0,81.8,94.89999999999999,81.6,86.1,"Cocotá, Rio de Janeiro, Brazil","Cocotá, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8050047, -43.1805463, 0.0)",-22.8050047,-43.1805463,0.0,North
51, Bancários,518.0,81.8,94.89999999999999,81.6,86.1," Bancários, Rio de Janeiro, Brazil","Bancários, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.7917588, -43.180966, 0.0)",-22.7917588,-43.180966,0.0,North
52,Maria da Graça,505.0,79.4,97.39999999999999,81.2,86.0,"Maria da Graça, Rio de Janeiro, Brazil","Maria da Graça, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8830403, -43.2638849, 0.0)",-22.8830403,-43.2638849,0.0,North
53, Del Castilho,505.0,79.4,97.39999999999999,81.2,86.0," Del Castilho, Rio de Janeiro, Brazil","Del Castilho, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20765000, Brasil","(-22.8795618, -43.2724202, 0.0)",-22.8795618,-43.2724202,0.0,North
54,Ribeira,527.0,79.7,96.1,81.89999999999999,85.9,"Ribeira, Rio de Janeiro, Brazil","Ribeira, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8252399, -43.1705907, 0.0)",-22.8252399,-43.1705907,0.0,North
55, Cacuia,527.0,79.7,96.1,81.89999999999999,85.9," Cacuia, Rio de Janeiro, Brazil","Cacuia, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8217028, -43.1837917, 0.0)",-22.8217028,-43.1837917,0.0,North
56,Lins de Vasconcelos,583.0,79.5,94.5,83.6,85.9,"Lins de Vasconcelos, Rio de Janeiro, Brazil","Lins de Vasconcelos, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9140512, -43.2843528, 0.0)",-22.9140512,-43.2843528,0.0,North
57,Engenho Novo,573.0,78.9,95.3,83.3,85.8,"Engenho Novo, Rio de Janeiro, Brazil","Engenho Novo, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9090942, -43.2678381, 0.0)",-22.9090942,-43.2678381,0.0,North
58,Zumbi,517.0,80.9,95.0,81.6,85.8,"Zumbi, Rio de Janeiro, Brazil","Zumbi, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8212784, -43.1758609, 0.0)",-22.8212784,-43.1758609,0.0,North
59, Pitangueiras,517.0,80.9,95.0,81.6,85.8," Pitangueiras, Rio de Janeiro, Brazil","Pitangueiras, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8171281, -43.1799542, 0.0)",-22.8171281,-43.1799542,0.0,North
60, Praia da Bandeira,517.0,80.9,95.0,81.6,85.8," Praia da Bandeira, Rio de Janeiro, Brazil","Praia da Bandeira, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8104077, -43.179895, 0.0)",-22.8104077,-43.179895,0.0,North
61,Ramos,508.0,81.6,94.3,81.3,85.7,"Ramos, Rio de Janeiro, Brazil","Ramos, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8519758, -43.2555693, 0.0)",-22.8519758,-43.2555693,0.0,North
